date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-07-03,2017-07-03,0,Monday,3,184,7,July,3,2017,False
2018-01-06,2018-01-06,5,Saturday,6,6,1,January,1,2018,True
2018-03-03,2018-03-03,5,Saturday,3,62,3,March,1,2018,True
2017-10-22,2017-10-22,6,Sunday,22,295,10,October,4,2017,True
2018-03-10,2018-03-10,5,Saturday,10,69,3,March,1,2018,True
2018-01-21,2018-01-21,6,Sunday,21,21,1,January,1,2018,True
2018-08-07,2018-08-07,1,Tuesday,7,219,8,August,3,2018,False
2017-04-15,2017-04-15,5,Saturday,15,105,4,April,2,2017,True
2017-02-25,2017-02-25,5,Saturday,25,56,2,February,1,2017,True
2017-09-16,2017-09-16,5,Saturday,16,259,9,September,3,2017,True
2017-03-24,2017-03-24,4,Friday,24,83,3,March,1,2017,False
2017-05-31,2017-05-31,2,Wednesday,31,151,5,May,2,2017,False
2017-03-08,2017-03-08,2,Wednesday,8,67,3,March,1,2017,False
2017-05-02,2017-05-02,1,Tuesday,2,122,5,May,2,2017,False
2017-06-19,2017-06-19,0,Monday,19,170,6,June,2,2017,False
2017-11-23,2017-11-23,3,Thursday,23,327,11,November,4,2017,False
2018-05-05,2018-05-05,5,Saturday,5,125,5,May,2,2018,True
2018-03-06,2018-03-06,1,Tuesday,6,65,3,March,1,2018,False
2017-06-20,2017-06-20,1,Tuesday,20,171,6,June,2,2017,False
2017-08-02,2017-08-02,2,Wednesday,2,214,8,August,3,2017,False
2018-04-28,2018-04-28,5,Saturday,28,118,4,April,2,2018,True
2018-04-12,2018-04-12,3,Thursday,12,102,4,April,2,2018,False
2018-01-28,2018-01-28,6,Sunday,28,28,1,January,1,2018,True
2018-02-23,2018-02-23,4,Friday,23,54,2,February,1,2018,False
2017-09-17,2017-09-17,6,Sunday,17,260,9,September,3,2017,True
2018-02-12,2018-02-12,0,Monday,12,43,2,February,1,2018,False
2017-05-06,2017-05-06,5,Saturday,6,126,5,May,2,2017,True
2017-08-14,2017-08-14,0,Monday,14,226,8,August,3,2017,False
